t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.18	0.999904	1.00006	0.598777	0.981934	0.0001	5
0.181	0.999903	1.00006	0.596617	0.981835	0.0001	5
0.182	0.999903	1.00006	0.594457	0.981736	0.0001	5
0.183	0.999902	1.00006	0.592299	0.981637	0.0001	5
0.184	0.999901	1.00006	0.590141	0.981538	0.0001	5
0.185	0.999901	1.00006	0.587984	0.981439	0.0001	5
0.186	0.9999	1.00006	0.585828	0.981339	0.0001	5
0.187	0.9999	1.00006	0.583672	0.98124	0.0001	5
0.188	0.999899	1.00006	0.581517	0.981141	0.0001	5
0.189	0.999899	1.00006	0.579363	0.981042	0.0001	5
0.19	0.999898	1.00006	0.57721	0.980943	0.0001	5
0.191	0.999898	1.00006	0.575057	0.980844	0.0001	5
0.192	0.999897	1.00006	0.572906	0.980745	0.0001	5
0.193	0.999897	1.00006	0.570755	0.980646	0.0001	5
0.194	0.999896	1.00006	0.568604	0.980547	0.0001	5
0.195	0.999896	1.00006	0.566455	0.980448	0.0001	5
0.196	0.999895	1.00006	0.564306	0.98035	0.0001	5
0.197	0.999895	1.00006	0.562158	0.980251	0.0001	5
0.198	0.999894	1.00006	0.560011	0.980152	0.0001	5
0.199	0.999893	1.00006	0.557864	0.980053	0.0001	5
0.2	0.999893	1.00006	0.555718	0.979954	0.0001	5
0.201	0.999892	1.00006	0.553573	0.979855	0.0001	5
0.202	0.999892	1.00006	0.551429	0.979756	0.0001	5
0.203	0.999891	1.00006	0.549285	0.979657	0.0001	5
0.204	0.999891	1.00006	0.547142	0.979559	0.0001	5
0.205	0.99989	1.00006	0.545	0.97946	0.0001	5
0.206	0.99989	1.00006	0.542859	0.979361	0.0001	5
0.207	0.999889	1.00006	0.540718	0.979262	0.0001	5
0.208	0.999889	1.00006	0.538579	0.979163	0.0001	5
0.209	0.999888	1.00006	0.536439	0.979065	0.0001	5
0.21	0.999888	1.00007	0.534301	0.978966	0.0001	5
0.211	0.999887	1.00007	0.532164	0.978867	0.0001	5
0.212	0.999886	1.00007	0.530027	0.978768	0.0001	5
0.213	0.999886	1.00007	0.527891	0.97867	0.0001	5
0.214	0.999885	1.00007	0.525755	0.978571	0.0001	5
0.215	0.999885	1.00007	0.523621	0.978472	0.0001	5
0.216	0.999884	1.00007	0.521487	0.978374	0.0001	5
0.217	0.999884	1.00007	0.519354	0.978275	0.0001	5
0.218	0.999883	1.00007	0.517221	0.978176	0.0001	5
0.219	0.999883	1.00007	0.515089	0.978078	0.0001	5
0.22	0.999882	1.00007	0.512959	0.977979	0.0001	5
0.221	0.999882	1.00007	0.510828	0.977881	0.0001	5
0.222	0.999881	1.00007	0.508699	0.977782	0.0001	5
0.223	0.999881	1.00007	0.50657	0.977683	0.0001	5
0.224	0.99988	1.00007	0.504442	0.977585	0.0001	5
0.225	0.99988	1.00007	0.502315	0.977486	0.0001	5
