t	FBP	Ca_c	NADH_m	Ca_m	deltaPsi	ATP_m	J_o
0.00281667	1	0.1	35.6108	0.0361706	152.238	1650.54	0.156452
0.00283333	1	0.1	35.6105	0.0361715	152.238	1650.55	0.156451
0.00285	1	0.1	35.6101	0.0361724	152.238	1650.56	0.15645
0.00286667	1	0.1	35.6098	0.0361733	152.238	1650.57	0.156449
0.00288333	1	0.1	35.6095	0.0361742	152.238	1650.57	0.156448
0.0029	1	0.1	35.6092	0.0361751	152.238	1650.58	0.156447
0.00291667	1	0.1	35.6089	0.0361761	152.237	1650.59	0.156446
0.00293333	1	0.1	35.6085	0.036177	152.237	1650.6	0.156445
0.00295	1	0.1	35.6082	0.0361779	152.237	1650.61	0.156444
0.00296667	1	0.1	35.6079	0.0361788	152.237	1650.62	0.156443
0.00298333	1	0.1	35.6076	0.0361797	152.237	1650.63	0.156442
0.003	1	0.1	35.6073	0.0361806	152.237	1650.64	0.156441
0.00301667	1	0.1	35.607	0.0361815	152.237	1650.64	0.15644
0.00303333	1	0.1	35.6067	0.0361824	152.237	1650.65	0.156439
0.00305	1	0.1	35.6064	0.0361833	152.237	1650.66	0.156438
0.00306667	1	0.1	35.6061	0.0361842	152.237	1650.67	0.156437
0.00308333	1	0.1	35.6058	0.0361851	152.237	1650.68	0.156436
0.0031	1	0.1	35.6055	0.036186	152.236	1650.69	0.156435
0.00311667	1	0.1	35.6052	0.0361869	152.236	1650.7	0.156434
0.00313333	1	0.1	35.6049	0.0361877	152.236	1650.7	0.156433
0.00315	1	0.1	35.6046	0.0361886	152.236	1650.71	0.156432
0.00316667	1	0.1	35.6043	0.0361895	152.236	1650.72	0.156431
0.00318333	1	0.1	35.604	0.0361904	152.236	1650.73	0.15643
0.0032	1	0.1	35.6037	0.0361913	152.236	1650.74	0.156429
0.00321667	1	0.1	35.6035	0.0361922	152.236	1650.75	0.156428
0.00323333	1	0.1	35.6032	0.0361931	152.236	1650.76	0.156428
0.00325	1	0.1	35.6029	0.036194	152.236	1650.76	0.156427
0.00326667	1	0.1	35.6026	0.0361949	152.236	1650.77	0.156426
0.00328333	1	0.1	35.6023	0.0361957	152.236	1650.78	0.156425
0.0033	1	0.1	35.6021	0.0361966	152.235	1650.79	0.156424
0.00331667	1	0.1	35.6018	0.0361975	152.235	1650.8	0.156423
0.00333333	1	0.1	35.6015	0.0361984	152.235	1650.81	0.156422
