t_min	J_o
5.3833333333	0.1771212966
5.4000000000	0.1755285929
5.4166666667	0.1739614646
5.4333333333	0.1724194030
5.4500000000	0.1709019089
5.4666666667	0.1694084932
5.4833333333	0.1679386761
5.5000000000	0.1664919878
5.5166666667	0.1650679677
5.5333333333	0.1636661646
5.5500000000	0.1622861367
5.5666666667	0.1609274514
5.5833333333	0.1595896851
5.6000000000	0.1582724230
5.6166666667	0.1569752593
5.6333333333	0.1556977967
5.6500000000	0.1544396465
5.6666666667	0.1532004282
5.6833333333	0.1519797698
5.7000000000	0.1507773072
5.7166666667	0.1495926841
5.7333333333	0.1484255522
5.7500000000	0.1472755706
5.7666666667	0.1461424062
5.7833333333	0.1450257328
5.8000000000	0.1439252317
5.8166666667	0.1428405911
5.8333333333	0.1417715060
5.8500000000	0.1407176783
5.8666666667	0.1396788164
5.8833333333	0.1386546350
5.9000000000	0.1376448554
5.9166666667	0.1366492048
5.9333333333	0.1356674166
5.9500000000	0.1346992299
5.9666666667	0.1337443898
5.9833333333	0.1328026467
6.0000000000	0.1318737570
6.0166666667	0.1309574819
6.0333333333	0.1300535881
6.0500000000	0.1291618476
6.0666666667	0.1282820372
6.0833333333	0.1274139385
6.1000000000	0.1265573382
6.1166666667	0.1257120272
6.1333333333	0.1248778015
6.1500000000	0.1240544610
6.1666666667	0.1232418104
6.1833333333	0.1224396583
6.2000000000	0.1216478176
6.2166666667	0.1208661053
6.2333333333	0.1200943422
6.2500000000	0.1193323529
6.2666666667	0.1185799660
6.2833333333	0.1178370136
6.3000000000	0.1171033314
6.3166666667	0.1163787585
6.3333333333	0.1156631376
6.3500000000	0.1149563147
6.3666666667	0.1142581388
6.3833333333	0.1135684625
6.4000000000	0.1128871411
6.4166666667	0.1122140332
6.4333333333	0.1115490002
6.4500000000	0.1108919065
6.4666666667	0.1102426190
6.4833333333	0.1096010079
6.5000000000	0.1089669456
6.5166666667	0.1083403073
6.5333333333	0.1077209709
6.5500000000	0.1071088164
6.5666666667	0.1065037267
6.5833333333	0.1059055868
6.6000000000	0.1053142841
6.6166666667	0.1047297083
6.6333333333	0.1041517513
6.6500000000	0.1035803071
6.6666666667	0.1030152720
6.6833333333	0.1024565441
6.7000000000	0.1019040237
6.7166666667	0.1013576131
6.7333333333	0.1008172164
6.7500000000	0.1002827398
6.7666666667	0.0997540910
6.7833333333	0.0992311798
6.8000000000	0.0987139177
6.8166666667	0.0982022178
6.8333333333	0.0976959949
6.8500000000	0.0971951656
6.8666666667	0.0966996479
6.8833333333	0.0962093615
6.9000000000	0.0957242277
6.9166666667	0.0952441690
6.9333333333	0.0947691096
6.9500000000	0.0942989752
6.9666666667	0.0938336927
6.9833333333	0.0933731905
7.0000000000	0.0929173983
7.0166666667	0.0924662471
7.0333333333	0.0920196691
7.0500000000	0.0915775979
7.0666666667	0.0911399683
7.0833333333	0.0907067162
7.1000000000	0.0902777788
7.1166666667	0.0898530943
7.1333333333	0.0894326021
7.1500000000	0.0890162428
7.1666666667	0.0886039579
7.1833333333	0.0881956901
7.2000000000	0.0877913829
7.2166666667	0.0873909811
7.2333333333	0.0869944303
7.2500000000	0.0866016770
7.2666666667	0.0862126689
7.2833333333	0.0858273545
7.3000000000	0.0854456831
7.3166666667	0.0850676049
7.3333333333	0.0846930711
7.3500000000	0.0843220338
7.3666666667	0.0839544456
7.3833333333	0.0835902603
7.4000000000	0.0832294323
7.4166666667	0.0828719167
7.4333333333	0.0825176695
7.4500000000	0.0821666476
7.4666666667	0.0818188082
7.4833333333	0.0814741097
7.5000000000	0.0811325108
7.5166666667	0.0807939711
7.5333333333	0.0804584510
7.5500000000	0.0801259112
7.5666666667	0.0797963134
7.5833333333	0.0794696198
7.6000000000	0.0791457931
7.6166666667	0.0788247968
7.6333333333	0.0785065950
7.6500000000	0.0781911522
7.6666666667	0.0778784337
7.6833333333	0.0775684052
7.7000000000	0.0772610330
7.7166666667	0.0769562839
7.7333333333	0.0766541254
7.7500000000	0.0763545254
7.7666666667	0.0760574523
7.7833333333	0.0757628750
7.8000000000	0.0754707630
7.8166666667	0.0751810860
7.8333333333	0.0748938146
7.8500000000	0.0746089196
7.8666666667	0.0743263721
7.8833333333	0.0740461441
7.9000000000	0.0737682076
7.9166666667	0.0734925354
7.9333333333	0.0732191003
7.9500000000	0.0729478759
7.9666666667	0.0726788360
7.9833333333	0.0724119549
8.0000000000	0.0721472072
8.0166666667	0.0718845680
8.0333333333	0.0716240127
8.0500000000	0.0713655170
8.0666666667	0.0711090571
8.0833333333	0.0708546096
8.1000000000	0.0706021512
8.1166666667	0.0703516592
8.1333333333	0.0701031110
8.1500000000	0.0698564847
8.1666666667	0.0696117583
8.1833333333	0.0693689104
8.2000000000	0.0691279198
8.2166666667	0.0688887657
8.2333333333	0.0686514275
8.2500000000	0.0684158850
8.2666666667	0.0681821182
8.2833333333	0.0679501073
8.3000000000	0.0677198331
8.3166666667	0.0674912764
8.3333333333	0.0672644184
8.3500000000	0.0670392405
8.3666666667	0.0668157243
8.3833333333	0.0665938519
8.4000000000	0.0663736055
8.4166666667	0.0661549674
8.4333333333	0.0659379205
8.4500000000	0.0657224476
8.4666666667	0.0655085319
8.4833333333	0.0652961568
8.5000000000	0.0650853061
8.5166666667	0.0648759635
8.5333333333	0.0646681131
8.5500000000	0.0644617393
8.5666666667	0.0642568266
8.5833333333	0.0640533597
8.6000000000	0.0638513236
8.6166666667	0.0636507033
8.6333333333	0.0634514844
8.6500000000	0.0632536522
8.6666666667	0.0630571926
8.6833333333	0.0628620915
8.7000000000	0.0626683350
8.7166666667	0.0624759094
8.7333333333	0.0622848012
8.7500000000	0.0620949970
8.7666666667	0.0619064838
8.7833333333	0.0617192484
8.8000000000	0.0615332782
8.8166666667	0.0613485603
8.8333333333	0.0611650825
8.8500000000	0.0609828323
8.8666666667	0.0608017976
8.8833333333	0.0606219664
8.9000000000	0.0604433268
8.9166666667	0.0602658672
8.9333333333	0.0600895759
8.9500000000	0.0599144417
8.9666666667	0.0597404532
8.9833333333	0.0595675993
9.0000000000	0.0593958691
9.0166666667	0.0592252517
9.0333333333	0.0590557364
9.0500000000	0.0588873127
9.0666666667	0.0587199702
9.0833333333	0.0585536985
9.1000000000	0.0583884875
9.1166666667	0.0582243271
9.1333333333	0.0580612075
9.1500000000	0.0578991187
9.1666666667	0.0577380512
9.1833333333	0.0575779955
9.2000000000	0.0574189419
9.2166666667	0.0572608813
9.2333333333	0.0571038044
9.2500000000	0.0569477021
9.2666666667	0.0567925654
9.2833333333	0.0566383855
9.3000000000	0.0564851535
9.3166666667	0.0563328609
9.3333333333	0.0561814990
9.3500000000	0.0560310593
9.3666666667	0.0558815336
9.3833333333	0.0557329136
9.4000000000	0.0555851910
9.4166666667	0.0554383578
9.4333333333	0.0552924062
9.4500000000	0.0551473280
9.4666666667	0.0550031157
9.4833333333	0.0548597614
9.5000000000	0.0547172577
9.5166666667	0.0545755969
9.5333333333	0.0544347716
9.5500000000	0.0542947745
9.5666666667	0.0541555984
9.5833333333	0.0540172360
9.6000000000	0.0538796803
9.6166666667	0.0537429242
9.6333333333	0.0536069609
9.6500000000	0.0534717834
9.6666666667	0.0533373850
9.6833333333	0.0532037590
9.7000000000	0.0530708987
9.7166666667	0.0529387977
9.7333333333	0.0528074494
9.7500000000	0.0526768475
9.7666666667	0.0525469855
9.7833333333	0.0524178573
9.8000000000	0.0522894567
9.8166666667	0.0521617775
9.8333333333	0.0520348136
9.8500000000	0.0519085592
9.8666666667	0.0517830082
9.8833333333	0.0516581548
9.9000000000	0.0515339932
9.9166666667	0.0514105178
9.9333333333	0.0512877227
9.9500000000	0.0511656025
9.9666666667	0.0510441515
9.9833333333	0.0509233643
10.0000000000	0.0508032355
10.0166666667	0.0506837596
10.0333333333	0.0505649314
10.0500000000	0.0504467457
10.0666666667	0.0503291972
10.0833333333	0.0502122807
10.1000000000	0.0500959913
10.1166666667	0.0499803238
10.1333333333	0.0498652733
10.1500000000	0.0497508349
10.1666666667	0.0496370036
10.1833333333	0.0495237747
10.2000000000	0.0494111434
10.2166666667	0.0492991049
10.2333333333	0.0491876546
10.2500000000	0.0490767879
10.2666666667	0.0489665001
10.2833333333	0.0488567868
10.3000000000	0.0487476435
10.3166666667	0.0486390656
10.3333333333	0.0485310489
10.3500000000	0.0484235890
10.3666666667	0.0483166815
10.3833333333	0.0482103222
10.4000000000	0.0481045070
10.4166666667	0.0479992315
10.4333333333	0.0478944918
10.4500000000	0.0477902837
10.4666666667	0.0476866031
10.4833333333	0.0475834460
10.5000000000	0.0474808086
10.5166666667	0.0473786867
10.5333333333	0.0472770767
10.5500000000	0.0471759745
10.5666666667	0.0470753765
10.5833333333	0.0469752787
10.6000000000	0.0468756776
10.6166666667	0.0467765693
10.6333333333	0.0466779502
10.6500000000	0.0465798168
10.6666666667	0.0464821653
10.6833333333	0.0463849923
10.7000000000	0.0462882942
10.7166666667	0.0461920675
10.7333333333	0.0460963088
10.7500000000	0.0460010146
10.7666666667	0.0459061816
10.7833333333	0.0458118065
10.8000000000	0.0457178858
10.8166666667	0.0456244163
10.8333333333	0.0455313947
10.8500000000	0.0454388178
10.8666666667	0.0453466825
10.8833333333	0.0452549854
10.9000000000	0.0451637236
10.9166666667	0.0450728939
10.9333333333	0.0449824931
10.9500000000	0.0448925184
10.9666666667	0.0448029665
10.9833333333	0.0447138347
11.0000000000	0.0446251198
11.0166666667	0.0445368189
11.0333333333	0.0444489292
11.0500000000	0.0443614478
11.0666666667	0.0442743717
11.0833333333	0.0441876982
11.1000000000	0.0441014244
11.1166666667	0.0440155477
11.1333333333	0.0439300652
11.1500000000	0.0438449741
11.1666666667	0.0437602719
11.1833333333	0.0436759558
11.2000000000	0.0435920232
11.2166666667	0.0435084714
11.2333333333	0.0434252979
11.2500000000	0.0433425000
11.2666666667	0.0432600752
11.2833333333	0.0431780210
11.3000000000	0.0430963348
11.3166666667	0.0430150142
11.3333333333	0.0429340567
11.3500000000	0.0428534598
11.3666666667	0.0427732211
11.3833333333	0.0426933383
11.4000000000	0.0426138089
11.4166666667	0.0425346305
11.4333333333	0.0424558010
11.4500000000	0.0423773178
11.4666666667	0.0422991788
11.4833333333	0.0422213816
11.5000000000	0.0421439239
11.5166666667	0.0420668037
11.5333333333	0.0419900186
11.5500000000	0.0419135664
11.5666666667	0.0418374449
11.5833333333	0.0417616521
11.6000000000	0.0416861856
11.6166666667	0.0416110436
11.6333333333	0.0415362237
11.6500000000	0.0414617239
11.6666666667	0.0413875423
11.6833333333	0.0413136766
11.7000000000	0.0412401249
11.7166666667	0.0411668852
11.7333333333	0.0410939554
11.7500000000	0.0410213336
11.7666666667	0.0409490178
11.7833333333	0.0408770060
11.8000000000	0.0408052964
11.8166666667	0.5984492145
11.8333333333	0.5982767949
11.8500000000	0.5982538520
11.8666666667	0.5982464555
11.8833333333	0.5982426553
11.9000000000	0.5982405860
11.9166666667	0.5982394802
11.9333333333	0.5982388990
11.9500000000	0.5982385948
11.9666666667	0.5982384342
11.9833333333	0.5982383470
12.0000000000	0.5982382972
12.0166666667	0.5982382662
12.0333333333	0.5982382448
12.0500000000	0.5982382280
12.0666666667	0.5978185425
12.0833333333	0.5974273056
12.1000000000	0.5967956013
12.1166666667	0.5958376169
12.1333333333	0.5944303255
12.1500000000	0.5924003483
12.1666666667	0.5895084468
12.1833333333	0.5854306586
12.2000000000	0.5797416292
12.2166666667	0.5719121144
12.2333333333	0.5613421044
12.2500000000	0.5474562690
12.2666666667	0.5298718159
12.2833333333	0.5085949802
12.3000000000	0.4841384273
12.3166666667	0.4574592267
12.3333333333	0.4297300656
12.3500000000	0.4020705346
12.3666666667	0.3753637718
12.3833333333	0.3501960384
12.4000000000	0.3268848542
12.4166666667	0.3055447321
12.4333333333	0.2861553171
12.4500000000	0.2686164367
12.4666666667	0.2527870431
12.4833333333	0.2385104087
12.5000000000	0.2256292582
12.5166666667	0.2139941479
12.5333333333	0.2034675740
12.5500000000	0.1939255094
12.5666666667	0.1852574690
12.5833333333	0.1773657906
12.6000000000	0.1701645432
12.6166666667	0.1635783041
12.6333333333	0.1575409389
12.6500000000	0.1519944545
12.6666666667	0.1468879561
12.6833333333	0.1421767201
12.7000000000	0.1378213799
12.7166666667	0.1337872178
12.7333333333	0.1300435516
12.7500000000	0.1265632062
12.7666666667	0.1233220583
12.7833333333	0.1202986449
12.8000000000	0.1174738263
12.8166666667	0.1148304956
12.8333333333	0.1123533290
12.8500000000	0.1100285695
12.8666666667	0.1078438405
12.8833333333	0.1057879836
12.9000000000	0.1038509184
12.9166666667	0.1020235202
12.9333333333	0.1002975139
12.9500000000	0.0986653805
12.9666666667	0.0971202758
12.9833333333	0.0956559594
13.0000000000	0.0942667313
13.0166666667	0.0929473772
13.0333333333	0.0916931193
13.0500000000	0.0904995732
13.0666666667	0.0893627099
13.0833333333	0.0882788215
13.1000000000	0.0872444909
13.1166666667	0.0862565655
13.1333333333	0.0853121323
13.1500000000	0.0844084970
13.1666666667	0.0835431644
13.1833333333	0.0827138212
13.2000000000	0.0819183205
13.2166666667	0.0811546673
13.2333333333	0.0804210066
13.2500000000	0.0797156114
13.2666666667	0.0790368726
13.2833333333	0.0783832895
13.3000000000	0.0777534613
13.3166666667	0.0771460793
13.3333333333	0.0765599203
13.3500000000	0.0759938394
13.3666666667	0.0754467648
13.3833333333	0.0749176922
13.4000000000	0.0744056798
13.4166666667	0.0739098440
13.4333333333	0.0734293552
13.4500000000	0.0729634340
13.4666666667	0.0725113478
13.4833333333	0.0720724075
13.5000000000	0.0716459645
13.5166666667	0.0712314082
13.5333333333	0.0708281634
13.5500000000	0.0704356879
13.5666666667	0.0700534704
13.5833333333	0.0696810284
13.6000000000	0.0693179066
13.6166666667	0.0689636751
13.6333333333	0.0686179278
13.6500000000	0.0682802807
13.6666666667	0.0679503709
13.6833333333	0.0676278552
13.7000000000	0.0673124087
13.7166666667	0.0670037240
13.7333333333	0.0667015101
13.7500000000	0.0664054911
13.7666666667	0.0661154058
13.7833333333	0.0658310066
13.8000000000	0.0655520586
13.8166666667	0.0652783391
13.8333333333	0.0650096369
13.8500000000	0.0647457514
13.8666666667	0.0644864922
13.8833333333	0.0642316785
13.9000000000	0.0639811387
13.9166666667	0.0637347094
13.9333333333	0.0634922357
13.9500000000	0.0632535700
13.9666666667	0.0630185721
13.9833333333	0.0627871087
14.0000000000	0.0625590528
14.0166666667	0.0623342835
14.0333333333	0.0621126860
14.0500000000	0.0618941505
14.0666666667	0.0616785728
14.0833333333	0.0614658535
14.1000000000	0.0612558978
14.1166666667	0.0610486153
14.1333333333	0.0608439199
14.1500000000	0.0606417295
14.1666666667	0.0604419655
14.1833333333	0.0602445532
14.2000000000	0.0600494211
14.2166666667	0.0598565011
14.2333333333	0.0596657278
14.2500000000	0.0594770390
14.2666666667	0.0592903753
14.2833333333	0.0591056796
14.3000000000	0.0589228977
14.3166666667	0.0587419773
14.3333333333	0.0585628687
14.3500000000	0.0583855243
14.3666666667	0.0582098982
