t_min	J_o_norm
9.4	0.0134785
9.41667	0.0133499
9.43333	0.013222
9.45	0.0130948
9.46667	0.0129682
9.48333	0.0128423
9.5	0.012717
9.51667	0.0125924
9.53333	0.0124684
9.55	0.012345
9.56667	0.0122223
9.58333	0.0121002
9.6	0.0119787
9.61667	0.0118579
9.63333	0.0117376
9.65	0.011618
9.66667	0.011499
9.68333	0.0113805
9.7	0.0112627
9.71667	0.0111454
9.73333	0.0110287
9.75	0.0109126
9.76667	0.0107971
9.78333	0.0106822
9.8	0.0105678
9.81667	0.010454
9.83333	0.0103407
9.85	0.010228
9.86667	0.0101159
9.88333	0.0100043
9.9	0.0098932
9.91667	0.00978268
9.93333	0.00967269
9.95	0.00956323
9.96667	0.0094543
9.98333	0.00934589
10	0.009238
10.0167	0.00913062
10.0333	0.00902376
10.05	0.0089174
10.0667	0.00881155
10.0833	0.0087062
10.1	0.00860135
10.1167	0.00849699
10.1333	0.00839313
10.15	0.00828975
10.1667	0.00818685
10.1833	0.00808443
10.2	0.00798249
10.2167	0.00788103
10.2333	0.00778003
10.25	0.0076795
10.2667	0.00757943
10.2833	0.00747983
10.3	0.00738068
10.3167	0.00728198
10.3333	0.00718374
10.35	0.00708594
10.3667	0.00698859
10.3833	0.00689168
10.4	0.00679521
10.4167	0.00669917
10.4333	0.00660357
10.45	0.0065084
10.4667	0.00641365
10.4833	0.00631933
10.5	0.00622542
10.5167	0.00613194
10.5333	0.00603887
10.55	0.00594622
10.5667	0.00585397
10.5833	0.00576213
10.6	0.0056707
10.6167	0.00557967
10.6333	0.00548904
10.65	0.0053988
10.6667	0.00530896
10.6833	0.00521951
10.7	0.00513044
10.7167	0.00504177
10.7333	0.00495348
10.75	0.00486556
10.7667	0.00477803
10.7833	0.00469088
10.8	0.00460409
10.8167	0.00451768
10.8333	0.00443164
10.85	0.00434596
10.8667	0.00426065
10.8833	0.0041757
10.9	0.00409111
10.9167	0.00400688
10.9333	0.003923
10.95	0.00383948
10.9667	0.0037563
10.9833	0.00367347
11	0.00359099
11.0167	0.00350886
11.0333	0.00342706
11.05	0.00334561
11.0667	0.00326449
11.0833	0.00318371
11.1	0.00310326
11.1167	0.00302314
11.1333	0.00294335
11.15	0.00286389
11.1667	0.00278475
11.1833	0.00270594
11.2	0.00262745
11.2167	0.00254928
11.2333	0.00247142
11.25	0.00239388
11.2667	0.00231665
11.2833	0.00223973
11.3	0.00216313
11.3167	0.00208683
11.3333	0.00201083
11.35	0.00193514
11.3667	0.00185976
11.3833	0.00178467
11.4	0.00170988
11.4167	0.00163539
11.4333	0.00156119
11.45	0.00148728
11.4667	0.00141367
11.4833	0.00134035
11.5	0.00126731
11.5167	0.00119456
11.5333	0.0011221
11.55	0.00104991
11.5667	0.000978011
11.5833	0.000906389
11.6	0.000835045
11.6167	0.000763977
11.6333	0.000693183
11.65	0.000622662
11.6667	0.000552413
11.6833	0.000482433
11.7	0.000412722
11.7167	0.000343277
11.7333	0.000274098
11.75	0.000205182
11.7667	0.000136528
11.7833	6.81342e-05
11.8	0
11.8167	1
11.8333	0.999856
11.85	0.999796
11.8667	0.999765
11.8833	0.999748
11.9	0.99974
11.9167	0.999736
11.9333	0.999734
11.95	0.999733
11.9667	0.999732
11.9833	0.999732
12	0.999731
12.0167	0.999731
12.0333	0.999731
12.05	0.999731
12.0667	0.999731
12.0833	0.999698
12.1	0.999679
12.1167	0.999596
12.1333	0.999371
12.15	0.99881
12.1667	0.997297
12.1833	0.992626
12.2	0.976892
12.2167	0.933272
12.2333	0.858041
12.25	0.7687
12.2667	0.680152
12.2833	0.599351
12.3	0.528449
12.3167	0.46735
12.3333	0.415078
12.35	0.370416
12.3667	0.332181
12.3833	0.299328
12.4	0.270969
12.4167	0.246368
12.4333	0.224917
12.45	0.206118
12.4667	0.189564
12.4833	0.174918
12.5	0.161902
12.5167	0.150287
12.5333	0.139882
12.55	0.130525
12.5667	0.122082
12.5833	0.114438
12.6	0.107497
12.6167	0.101175
12.6333	0.0954024
12.65	0.0901173
12.6667	0.0852671
12.6833	0.0808057
12.7	0.0766933
12.7167	0.0728947
12.7333	0.0693794
12.75	0.0661203
12.7667	0.0630934
12.7833	0.0602777
12.8	0.0576542
12.8167	0.0552061
12.8333	0.0529186
12.85	0.0507782
12.8667	0.0487727
12.8833	0.0468914
12.9	0.0451244
12.9167	0.0434629
12.9333	0.0418988
12.95	0.0404249
12.9667	0.0390345
12.9833	0.0377216
13	0.0364806
13.0167	0.0353065
13.0333	0.0341947
13.05	0.0331409
13.0667	0.0321413
13.0833	0.0311923
13.1	0.0302905
13.1167	0.0294329
13.1333	0.0286168
13.15	0.0278394
13.1667	0.0270985
13.1833	0.0263916
13.2	0.0257169
13.2167	0.0250723
13.2333	0.0244561
13.25	0.0238666
13.2667	0.0233022
13.2833	0.0227616
13.3	0.0222432
13.3167	0.021746
13.3333	0.0212686
13.35	0.0208101
13.3667	0.0203693
13.3833	0.0199453
13.4	0.0195372
13.4167	0.0191441
13.4333	0.0187652
13.45	0.0183998
13.4667	0.0180472
13.4833	0.0177067
13.5	0.0173777
13.5167	0.0170596
13.5333	0.0167518
13.55	0.0164538
13.5667	0.0161652
13.5833	0.0158854
13.6	0.015614
13.6167	0.0153506
13.6333	0.0150949
13.65	0.0148464
13.6667	0.0146047
13.6833	0.0143697
13.7	0.0141409
13.7167	0.0139181
13.7333	0.0137009
13.75	0.0134892
13.7667	0.0132826
13.7833	0.0130809
13.8	0.012884
13.8167	0.0126915
13.8333	0.0125033
13.85	0.0123193
13.8667	0.0121391
13.8833	0.0119627
13.9	0.0117898
13.9167	0.0116204
13.9333	0.0114542
13.95	0.0112912
13.9667	0.0111312
13.9833	0.010974
14	0.0108197
14.0167	0.0106679
14.0333	0.0105187
14.05	0.0103719
14.0667	0.0102275
14.0833	0.0100853
14.1	0.00994524
14.1167	0.00980726
14.1333	0.00967126
14.15	0.00953717
14.1667	0.00940492
14.1833	0.00927444
14.2	0.00914567
14.2167	0.00901853
14.2333	0.00889298
14.25	0.00876895
14.2667	0.00864639
14.2833	0.00852525
14.3	0.00840548
14.3167	0.00828703
14.3333	0.00816986
14.35	0.00805393
14.3667	0.00793919
14.3833	0.0078256
14.4	0.00771314
14.4167	0.00760175
14.4333	0.00749142
14.45	0.00738211
14.4667	0.00727378
14.4833	0.00716641
14.5	0.00705997
14.5167	0.00695444
14.5333	0.00684978
14.55	0.00674597
14.5667	0.006643
14.5833	0.00654083
14.6	0.00643945
14.6167	0.00633883
14.6333	0.00623896
14.65	0.00613982
14.6667	0.00604138
14.6833	0.00594364
14.7	0.00584658
14.7167	0.00575017
14.7333	0.00565441
14.75	0.00555928
14.7667	0.00546477
14.7833	0.00537086
14.8	0.00527754
14.8167	0.0051848
14.8333	0.00509263
14.85	0.00500101
14.8667	0.00490994
14.8833	0.0048194
14.9	0.00472938
14.9167	0.00463988
14.9333	0.00455089
14.95	0.00446239
14.9667	0.00437438
14.9833	0.00428685
15	0.0041998
15.0167	0.0041132
15.0333	0.999918
15.05	0.999824
15.0667	0.999779
15.0833	0.999756
15.1	0.999743
15.1167	0.999737
15.1333	0.999733
15.15	0.999732
15.1667	0.999731
15.1833	0.999731
15.2	0.99973
15.2167	0.99973
15.2333	0.99973
15.25	0.99973
15.2667	0.999729
15.2833	0.999729
15.3	0.999729
15.3167	0.999729
15.3333	0.999729
15.35	0.999728
15.3667	0.999728
15.3833	0.999728
15.4	0.999728
15.4167	0.999728
15.4333	0.999727
15.45	0.999727
15.4667	0.999727
15.4833	0.999727
15.5	0.999727
15.5167	0.999726
15.5333	0.999726
15.55	0.999726
15.5667	0.999726
15.5833	0.999725
15.6	0.999725
15.6167	0.999725
15.6333	0.999725
15.65	0.999724
15.6667	0.999724
15.6833	0.999724
15.7	0.999724
15.7167	0.999723
15.7333	0.999723
15.75	0.999723
15.7667	0.999722
15.7833	0.999722
15.8	0.999722
15.8167	0.999721
15.8333	0.999721
15.85	0.999721
15.8667	0.99972
15.8833	0.99972
15.9	0.99972
15.9167	0.999713
15.9333	0.999728
15.95	0.999738
15.9667	0.999727
15.9833	0.999696
16	0.99964
16.0167	0.999552
16.0333	0.999411
16.05	0.999188
16.0667	0.998828
16.0833	0.998233
16.1	0.997217
16.1167	0.995423
16.1333	0.992134
16.15	0.98595
16.1667	0.974388
16.1833	0.954116
16.2	0.922786
16.2167	0.881145
16.2333	0.832547
16.25	0.780832
16.2667	0.729031
16.2833	0.679111
16.3	0.632175
16.3167	0.588727
16.3333	0.548899
16.35	0.5126
16.3667	0.479625
16.3833	0.449711
16.4	0.422582
16.4167	0.397962
16.4333	0.375594
16.45	0.355241
16.4667	0.336687
16.4833	0.319741
16.5	0.304232
16.5167	0.290008
16.5333	0.276937
16.55	0.2649
16.5667	0.253792
16.5833	0.243522
16.6	0.234008
16.6167	0.225178
16.6333	0.216967
16.65	0.209319
16.6667	0.202183
16.6833	0.195513
16.7	0.18927
16.7167	0.183416
16.7333	0.17792
16.75	0.172752
16.7667	0.167885
16.7833	0.163296
16.8	0.158964
16.8167	0.154868
16.8333	0.150991
16.85	0.147317
16.8667	0.143832
16.8833	0.140521
16.9	0.137373
16.9167	0.134376
16.9333	0.13152
16.95	0.128797
16.9667	0.126196
16.9833	0.123711
17	0.121333
17.0167	0.119056
17.0333	0.116874
17.05	0.114781
